Period,Number,BigSmall,Color
20260527100010846,3,Small,Green
20260527100010845,2,Small,Red
20260527100010844,9,Big,Green
20260527100010843,3,Small,Green
20260527100010842,0,Small,Red Violet
20260527100010841,3,Small,Green
20260527100010840,3,Small,Green
20260527100010839,6,Big,Red
20260527100010838,2,Small,Red
20260527100010837,4,Small,Red
20260527100010836,8,Big,Red
20260527100010835,8,Big,Red
20260527100010834,7,Big,Green
20260527100010833,4,Small,Red
20260527100010832,8,Big,Red
20260527100010831,4,Small,Red
20260527100010830,9,Big,Green
20260527100010829,4,Small,Red
20260527100010828,0,Small,Red Violet
20260527100010827,9,Big,Green
20260527100010826,0,Small,Red Violet
20260527100010825,3,Small,Green
20260527100010824,6,Big,Red
20260527100010823,6,Big,Red
20260527100010822,9,Big,Green
20260527100010821,2,Small,Red
20260527100010820,9,Big,Green
20260527100010819,0,Small,Red Violet
20260527100010818,2,Small,Red
20260527100010817,2,Small,Red
20260527100010816,3,Small,Green
20260527100010815,4,Small,Red
20260527100010814,7,Big,Green
20260527100010813,0,Small,Red Violet
20260527100010812,0,Small,Red Violet
20260527100010811,8,Big,Red
20260527100010810,8,Big,Red
20260527100010809,5,Big,Green Violet
20260527100010808,4,Small,Red
20260527100010807,8,Big,Red
20260527100010806,3,Small,Green
20260527100010805,7,Big,Green
20260527100010804,7,Big,Green
20260527100010803,9,Big,Green
20260527100010802,7,Big,Green
20260527100010801,3,Small,Green
20260527100010800,0,Small,Red Violet
20260527100010799,0,Small,Red Violet
20260527100010798,1,Small,Green
20260527100010797,8,Big,Red
20260527100010796,3,Small,Green
20260527100010795,3,Small,Green
20260527100010794,7,Big,Green
20260527100010793,9,Big,Green
20260527100010792,5,Big,Green Violet
20260527100010791,9,Big,Green
20260527100010790,1,Small,Green
20260527100010789,2,Small,Red
20260527100010788,1,Small,Green
20260527100010787,0,Small,Red Violet
20260527100010786,4,Small,Red
20260527100010785,6,Big,Red
20260527100010784,6,Big,Red
20260527100010783,1,Small,Green
20260527100010782,7,Big,Green
20260527100010781,1,Small,Green
20260527100010780,0,Small,Red Violet
20260527100010779,9,Big,Green
20260527100010778,7,Big,Green
20260527100010777,5,Big,Green Violet
20260527100010776,6,Big,Red
20260527100010775,3,Small,Green
20260527100010774,4,Small,Red
20260527100010773,9,Big,Green
20260527100010772,1,Small,Green
20260527100010771,3,Small,Green
20260527100010770,8,Big,Red
20260527100010769,9,Big,Green
20260527100010768,0,Small,Red Violet
20260527100010767,5,Big,Green Violet
20260527100010766,2,Small,Red
20260527100010765,4,Small,Red
20260527100010764,1,Small,Green
20260527100010763,0,Small,Red Violet
20260527100010762,1,Small,Green
20260527100010761,0,Small,Red Violet
20260527100010760,3,Small,Green
20260527100010759,2,Small,Red
20260527100010758,8,Big,Red
20260527100010757,5,Big,Green Violet
20260527100010756,9,Big,Green
20260527100010755,4,Small,Red
20260527100010754,1,Small,Green
20260527100010753,4,Small,Red
20260527100010752,3,Small,Green
20260527100010751,8,Big,Red
20260527100010750,1,Small,Green
20260527100010749,6,Big,Red
20260527100010748,1,Small,Green
20260527100010747,9,Big,Green
20260527100010746,8,Big,Red
20260527100010745,6,Big,Red
20260527100010744,0,Small,Red Violet
20260527100010743,1,Small,Green
20260527100010742,4,Small,Red
20260527100010741,6,Big,Red
20260527100010740,2,Small,Red
20260527100010739,0,Small,Red Violet
20260527100010738,5,Big,Green Violet
20260527100010737,4,Small,Red
20260527100010736,9,Big,Green
20260527100010735,6,Big,Red
20260527100010734,0,Small,Red Violet
20260527100010733,6,Big,Red
20260527100010732,3,Small,Green
20260527100010731,8,Big,Red
20260527100010730,5,Big,Green Violet
20260527100010729,7,Big,Green
20260527100010728,6,Big,Red
20260527100010727,7,Big,Green
20260527100010726,6,Big,Red
20260527100010725,9,Big,Green
20260527100010724,5,Big,Green Violet
20260527100010723,9,Big,Green
20260527100010722,2,Small,Red
20260527100010721,1,Small,Green
20260527100010720,2,Small,Red
20260527100010719,2,Small,Red
20260527100010718,9,Big,Green
20260527100010717,3,Small,Green
20260527100010716,1,Small,Green
20260527100010715,7,Big,Green
20260527100010714,6,Big,Red
20260527100010713,1,Small,Green
20260527100010712,8,Big,Red
20260527100010711,9,Big,Green
20260527100010710,8,Big,Red
20260527100010709,3,Small,Green
20260527100010708,3,Small,Green
20260527100010707,7,Big,Green
20260527100010706,7,Big,Green
20260527100010705,2,Small,Red
20260527100010704,7,Big,Green
20260527100010703,3,Small,Green
20260527100010702,1,Small,Green
20260527100010701,2,Small,Red
20260527100010700,6,Big,Red
20260527100010699,6,Big,Red
20260527100010698,1,Small,Green
20260527100010697,3,Small,Green
20260527100010696,2,Small,Red
20260527100010695,5,Big,Green Violet
20260527100010694,6,Big,Red
20260527100010693,3,Small,Green
20260527100010692,0,Small,Red Violet
20260527100010691,9,Big,Green
20260527100010690,2,Small,Red
20260527100010689,8,Big,Red
20260527100010688,4,Small,Red
20260527100010687,1,Small,Green
20260527100010686,3,Small,Green
20260527100010685,1,Small,Green
20260527100010684,6,Big,Red
20260527100010683,6,Big,Red
20260527100010682,9,Big,Green
20260527100010681,9,Big,Green
20260527100010680,5,Big,Green Violet
20260527100010679,2,Small,Red
20260527100010678,3,Small,Green
20260527100010677,7,Big,Green
20260527100010676,5,Big,Green Violet
20260527100010675,3,Small,Green
20260527100010674,3,Small,Green
20260527100010673,6,Big,Red
20260527100010672,6,Big,Red
20260527100010671,6,Big,Red
20260527100010670,2,Small,Red
20260527100010669,7,Big,Green
20260527100010668,8,Big,Red
20260527100010667,2,Small,Red
20260527100010666,7,Big,Green
20260527100010665,9,Big,Green
20260527100010664,3,Small,Green
20260527100010663,3,Small,Green
20260527100010662,1,Small,Green
20260527100010661,7,Big,Green
20260527100010660,6,Big,Red
20260527100010659,3,Small,Green
20260527100010658,6,Big,Red
20260527100010657,5,Big,Green Violet
20260527100010656,7,Big,Green
20260527100010655,4,Small,Red
20260527100010654,4,Small,Red
20260527100010653,5,Big,Green Violet
20260527100010652,7,Big,Green
20260527100010651,8,Big,Red
20260527100010650,1,Small,Green
20260527100010649,6,Big,Red
20260527100010648,1,Small,Green
20260527100010647,0,Small,Red Violet
20260527100010646,1,Small,Green
20260527100010645,2,Small,Red
20260527100010644,9,Big,Green
20260527100010643,6,Big,Red
20260527100010642,8,Big,Red
20260527100010641,9,Big,Green
20260527100010640,3,Small,Green
20260527100010639,0,Small,Red Violet
20260527100010638,7,Big,Green
20260527100010637,0,Small,Red Violet
20260527100010636,5,Big,Green Violet
20260527100010635,4,Small,Red
20260527100010634,4,Small,Red
20260527100010633,2,Small,Red
20260527100010632,7,Big,Green
20260527100010631,3,Small,Green
20260527100010630,0,Small,Red Violet
20260527100010629,2,Small,Red
20260527100010628,9,Big,Green
20260527100010627,5,Big,Green Violet
20260527100010626,6,Big,Red
20260527100010625,5,Big,Green Violet
20260527100010624,5,Big,Green Violet
20260527100010623,0,Small,Red Violet
20260527100010622,7,Big,Green
20260527100010621,0,Small,Red Violet
20260527100010620,5,Big,Green Violet
20260527100010619,4,Small,Red
20260527100010618,5,Big,Green Violet
20260527100010617,0,Small,Red Violet
20260527100010616,7,Big,Green
20260527100010615,6,Big,Red
20260527100010614,9,Big,Green
20260527100010613,8,Big,Red
20260527100010612,5,Big,Green Violet
20260527100010611,8,Big,Red
20260527100010610,6,Big,Red
20260527100010609,4,Small,Red
20260527100010608,0,Small,Red Violet
20260527100010607,0,Small,Red Violet
20260527100010606,7,Big,Green
20260527100010605,4,Small,Red
20260527100010604,1,Small,Green
20260527100010603,8,Big,Red
20260527100010602,1,Small,Green
20260527100010601,9,Big,Green
20260527100010600,7,Big,Green
20260527100010599,1,Small,Green
20260527100010598,8,Big,Red
20260527100010597,9,Big,Green
20260527100010596,0,Small,Red Violet
20260527100010595,8,Big,Red
20260527100010594,0,Small,Red Violet
20260527100010593,1,Small,Green
20260527100010592,8,Big,Red
20260527100010591,5,Big,Green Violet
20260527100010590,8,Big,Red
20260527100010589,9,Big,Green
20260527100010588,5,Big,Green Violet
20260527100010587,3,Small,Green
20260527100010586,1,Small,Green
20260527100010585,1,Small,Green
20260527100010584,4,Small,Red
20260527100010583,4,Small,Red
20260527100010582,9,Big,Green
20260527100010581,6,Big,Red
20260527100010580,6,Big,Red
20260527100010579,7,Big,Green
20260527100010578,5,Big,Green Violet
20260527100010577,0,Small,Red Violet
20260527100010576,6,Big,Red
20260527100010575,2,Small,Red
20260527100010574,0,Small,Red Violet
20260527100010573,4,Small,Red
20260527100010572,1,Small,Green
20260527100010571,8,Big,Red
20260527100010570,8,Big,Red
20260527100010569,5,Big,Green Violet
20260527100010568,0,Small,Red Violet
20260527100010567,7,Big,Green
20260527100010566,0,Small,Red Violet
20260527100010565,4,Small,Red
20260527100010564,2,Small,Red
20260527100010563,9,Big,Green
20260527100010562,7,Big,Green
20260527100010561,1,Small,Green
20260527100010560,2,Small,Red
20260527100010559,5,Big,Green Violet
20260527100010558,4,Small,Red
20260527100010557,5,Big,Green Violet
20260527100010556,8,Big,Red
20260527100010555,7,Big,Green
20260527100010554,1,Small,Green
20260527100010553,4,Small,Red
20260527100010552,7,Big,Green
20260527100010551,5,Big,Green Violet
20260527100010550,4,Small,Red
20260527100010549,4,Small,Red
20260527100010548,7,Big,Green
20260527100010547,3,Small,Green
20260527100010546,4,Small,Red
20260527100010545,4,Small,Red
20260527100010544,5,Big,Green Violet
20260527100010543,4,Small,Red
20260527100010542,9,Big,Green
20260527100010541,7,Big,Green
20260527100010540,7,Big,Green
20260527100010539,5,Big,Green Violet
20260527100010538,2,Small,Red
20260527100010537,3,Small,Green
20260527100010536,9,Big,Green
20260527100010535,5,Big,Green Violet
20260527100010534,6,Big,Red
20260527100010533,0,Small,Red Violet
20260527100010532,4,Small,Red
20260527100010531,8,Big,Red
20260527100010530,8,Big,Red
20260527100010529,6,Big,Red
20260527100010528,1,Small,Green
20260527100010527,0,Small,Red Violet
20260527100010526,2,Small,Red
20260527100010525,1,Small,Green
20260527100010524,6,Big,Red
20260527100010523,1,Small,Green
20260527100010522,6,Big,Red
20260527100010521,9,Big,Green
20260527100010520,8,Big,Red
20260527100010519,7,Big,Green
20260527100010518,2,Small,Red
20260527100010517,5,Big,Green Violet
20260527100010516,4,Small,Red
20260527100010515,9,Big,Green
20260527100010514,0,Small,Red Violet
20260527100010513,8,Big,Red
20260527100010512,3,Small,Green
20260527100010511,2,Small,Red
20260527100010510,4,Small,Red
20260527100010509,3,Small,Green
20260527100010508,1,Small,Green
20260527100010507,2,Small,Red
20260527100010506,3,Small,Green
20260527100010505,4,Small,Red
20260527100010504,4,Small,Red
20260527100010503,5,Big,Green Violet
20260527100010502,6,Big,Red
20260527100010501,0,Small,Red Violet
20260527100010500,9,Big,Green
20260527100010499,9,Big,Green
20260527100010498,0,Small,Red Violet
20260527100010497,5,Big,Green Violet
20260527100010496,2,Small,Red
20260527100010495,1,Small,Green
20260527100010494,4,Small,Red
20260527100010493,2,Small,Red
20260527100010492,1,Small,Green
20260527100010491,5,Big,Green Violet
20260527100010490,7,Big,Green
20260527100010489,4,Small,Red
20260527100010488,9,Big,Green
20260527100010487,9,Big,Green
20260527100010486,5,Big,Green Violet
20260527100010485,7,Big,Green
20260527100010484,2,Small,Red
20260527100010483,4,Small,Red
20260527100010482,7,Big,Green
20260527100010481,0,Small,Red Violet
20260527100010480,0,Small,Red Violet
20260527100010479,4,Small,Red
20260527100010478,0,Small,Red Violet
20260527100010477,8,Big,Red
20260527100010476,7,Big,Green
20260527100010475,5,Big,Green Violet
20260527100010474,4,Small,Red
20260527100010473,3,Small,Green
20260527100010472,3,Small,Green
20260527100010471,1,Small,Green
20260527100010470,3,Small,Green
20260527100010469,0,Small,Red Violet
20260527100010468,0,Small,Red Violet
20260527100010467,1,Small,Green
20260527100010466,3,Small,Green
20260527100010465,0,Small,Red Violet
20260527100010464,5,Big,Green Violet
20260527100010463,0,Small,Red Violet
20260527100010462,2,Small,Red
20260527100010461,7,Big,Green
20260527100010460,4,Small,Red
20260527100010459,7,Big,Green
20260527100010458,3,Small,Green
20260527100010457,8,Big,Red
20260527100010456,9,Big,Green
20260527100010455,0,Small,Red Violet
20260527100010454,6,Big,Red
20260527100010453,0,Small,Red Violet
20260527100010452,7,Big,Green
20260527100010451,3,Small,Green
20260527100010450,9,Big,Green
20260527100010449,0,Small,Red Violet
20260527100010448,1,Small,Green
20260527100010447,1,Small,Green
20260527100010446,3,Small,Green
20260527100010445,4,Small,Red
20260527100010444,4,Small,Red
20260527100010443,3,Small,Green
20260527100010442,5,Big,Green Violet
20260527100010441,3,Small,Green
20260527100010440,1,Small,Green
20260527100010439,2,Small,Red
20260527100010438,2,Small,Red
20260527100010437,0,Small,Red Violet
20260527100010436,4,Small,Red
20260527100010435,0,Small,Red Violet
20260527100010434,0,Small,Red Violet
20260527100010433,2,Small,Red
20260527100010432,4,Small,Red
20260527100010431,2,Small,Red
20260527100010430,1,Small,Green
20260527100010429,1,Small,Green
20260527100010428,5,Big,Green Violet
20260527100010427,6,Big,Red
20260527100010426,7,Big,Green
20260527100010425,9,Big,Green
20260527100010424,8,Big,Red
20260527100010423,2,Small,Red
20260527100010422,0,Small,Red Violet
20260527100010421,3,Small,Green
20260527100010420,1,Small,Green
20260527100010419,6,Big,Red
20260527100010418,9,Big,Green
20260527100010417,2,Small,Red
20260527100010416,9,Big,Green
20260527100010415,0,Small,Red Violet
20260527100010414,9,Big,Green
20260527100010413,3,Small,Green
20260527100010412,5,Big,Green Violet
20260527100010411,1,Small,Green
20260527100010410,5,Big,Green Violet
20260527100010409,2,Small,Red
20260527100010408,3,Small,Green
20260527100010407,1,Small,Green
20260527100010406,7,Big,Green
20260527100010405,8,Big,Red
20260527100010404,6,Big,Red
20260527100010403,1,Small,Green
20260527100010402,8,Big,Red
20260527100010401,0,Small,Red Violet
20260527100010400,6,Big,Red
20260527100010399,4,Small,Red
20260527100010398,8,Big,Red
20260527100010397,7,Big,Green
20260527100010396,1,Small,Green
20260527100010395,4,Small,Red
20260527100010394,0,Small,Red Violet
20260527100010393,5,Big,Green Violet
20260527100010392,5,Big,Green Violet
20260527100010391,1,Small,Green
20260527100010390,1,Small,Green
20260527100010389,5,Big,Green Violet
20260527100010388,6,Big,Red
20260527100010387,6,Big,Red
20260527100010386,3,Small,Green
20260527100010385,8,Big,Red
20260527100010384,2,Small,Red
20260527100010383,4,Small,Red
20260527100010382,4,Small,Red
20260527100010381,3,Small,Green
20260527100010380,1,Small,Green
20260527100010379,7,Big,Green
20260527100010378,7,Big,Green
20260527100010377,1,Small,Green
20260527100010376,7,Big,Green
20260527100010375,5,Big,Green Violet
20260527100010374,1,Small,Green
20260527100010373,6,Big,Red
20260527100010372,8,Big,Red
20260527100010371,2,Small,Red
20260527100010370,1,Small,Green
20260527100010369,7,Big,Green
20260527100010368,1,Small,Green
20260527100010367,1,Small,Green
20260527100010366,2,Small,Red
20260527100010365,9,Big,Green
20260527100010364,9,Big,Green
20260527100010363,5,Big,Green Violet
20260527100010362,9,Big,Green
20260527100010361,4,Small,Red
20260527100010360,6,Big,Red
20260527100010359,8,Big,Red
20260527100010358,3,Small,Green
20260527100010357,1,Small,Green
20260527100010356,7,Big,Green
20260527100010355,5,Big,Green Violet
20260527100010354,4,Small,Red
20260527100010353,6,Big,Red
20260527100010352,6,Big,Red
20260527100010351,9,Big,Green
20260527100010350,0,Small,Red Violet
20260527100010349,3,Small,Green
20260527100010348,7,Big,Green
20260527100010347,1,Small,Green
20260527100010346,3,Small,Green
20260527100010345,1,Small,Green
20260527100010344,8,Big,Red
20260527100010343,1,Small,Green
20260527100010342,0,Small,Red Violet
20260527100010341,2,Small,Red
20260527100010340,7,Big,Green
20260527100010339,3,Small,Green
20260527100010338,0,Small,Red Violet
20260527100010337,3,Small,Green
20260527100010336,3,Small,Green
20260527100010335,5,Big,Green Violet
20260527100010334,7,Big,Green
20260527100010333,3,Small,Green
20260527100010332,1,Small,Green
20260527100010331,5,Big,Green Violet
20260527100010330,7,Big,Green
20260527100010329,6,Big,Red
20260527100010328,5,Big,Green Violet
20260527100010327,7,Big,Green
20260527100010326,8,Big,Red
20260527100010325,8,Big,Red
20260527100010324,7,Big,Green
20260527100010323,0,Small,Red Violet
20260527100010322,2,Small,Red
20260527100010321,7,Big,Green
20260527100010320,7,Big,Green
20260527100010319,4,Small,Red
20260527100010318,6,Big,Red
20260527100010317,5,Big,Green Violet
20260527100010316,0,Small,Red Violet
20260527100010315,6,Big,Red
20260527100010314,3,Small,Green
20260527100010313,9,Big,Green
20260527100010312,9,Big,Green
20260527100010311,1,Small,Green
20260527100010310,1,Small,Green
20260527100010309,4,Small,Red
20260527100010308,7,Big,Green
20260527100010307,6,Big,Red
20260527100010306,0,Small,Red Violet
20260527100010305,2,Small,Red
20260527100010304,5,Big,Green Violet
20260527100010303,7,Big,Green
20260527100010302,0,Small,Red Violet
20260527100010301,3,Small,Green
20260527100010300,8,Big,Red
20260527100010299,7,Big,Green
20260527100010298,0,Small,Red Violet
20260527100010297,5,Big,Green Violet
20260527100010296,3,Small,Green
20260527100010295,0,Small,Red Violet
20260527100010294,0,Small,Red Violet
20260527100010293,0,Small,Red Violet
20260527100010292,7,Big,Green
20260527100010291,6,Big,Red
20260527100010290,0,Small,Red Violet
20260527100010289,0,Small,Red Violet
20260527100010288,5,Big,Green Violet
20260527100010287,7,Big,Green
20260527100010286,5,Big,Green Violet
20260527100010285,2,Small,Red
20260527100010284,8,Big,Red
20260527100010283,4,Small,Red
20260527100010282,9,Big,Green
20260527100010281,1,Small,Green
20260527100010280,1,Small,Green
20260527100010279,6,Big,Red
20260527100010278,7,Big,Green
20260527100010277,6,Big,Red
20260527100010276,2,Small,Red
20260527100010275,1,Small,Green
20260527100010274,6,Big,Red
20260527100010273,1,Small,Green
20260527100010272,5,Big,Green Violet
20260527100010271,2,Small,Red
20260527100010270,7,Big,Green
20260527100010269,8,Big,Red
20260527100010268,8,Big,Red
20260527100010267,1,Small,Green
20260527100010266,2,Small,Red
20260527100010265,3,Small,Green
20260527100010264,7,Big,Green
20260527100010263,9,Big,Green
20260527100010262,0,Small,Red Violet
20260527100010261,4,Small,Red
20260527100010260,9,Big,Green
20260527100010259,4,Small,Red
20260527100010258,6,Big,Red
20260527100010257,0,Small,Red Violet
20260527100010256,4,Small,Red
20260527100010255,6,Big,Red
20260527100010254,4,Small,Red
20260527100010253,2,Small,Red
20260527100010252,6,Big,Red
20260527100010251,1,Small,Green
20260527100010250,1,Small,Green
20260527100010249,5,Big,Green Violet
20260527100010248,9,Big,Green
20260527100010247,8,Big,Red
20260527100010246,2,Small,Red
20260527100010245,2,Small,Red
20260527100010244,8,Big,Red
20260527100010243,6,Big,Red
20260527100010242,1,Small,Green
20260527100010241,7,Big,Green
20260527100010240,7,Big,Green
20260527100010239,8,Big,Red
20260527100010238,2,Small,Red
20260527100010237,9,Big,Green
20260527100010236,9,Big,Green
20260527100010235,5,Big,Green Violet
20260527100010234,3,Small,Green
20260527100010233,5,Big,Green Violet
20260527100010232,6,Big,Red
20260527100010231,1,Small,Green
20260527100010230,1,Small,Green
20260527100010229,4,Small,Red
20260527100010228,8,Big,Red
20260527100010227,7,Big,Green
20260527100010226,6,Big,Red
20260527100010225,4,Small,Red
20260527100010224,7,Big,Green
20260527100010223,4,Small,Red
20260527100010222,1,Small,Green
20260527100010221,5,Big,Green Violet
20260527100010220,6,Big,Red
20260527100010219,0,Small,Red Violet
20260527100010218,1,Small,Green
20260527100010217,3,Small,Green
20260527100010216,8,Big,Red
20260527100010215,2,Small,Red
20260527100010214,2,Small,Red
20260527100010213,1,Small,Green
20260527100010212,1,Small,Green
20260527100010211,1,Small,Green
20260527100010210,6,Big,Red
20260527100010209,9,Big,Green
20260527100010208,4,Small,Red
20260527100010207,9,Big,Green
20260527100010206,9,Big,Green
20260527100010205,5,Big,Green Violet
20260527100010204,0,Small,Red Violet
20260527100010203,9,Big,Green
20260527100010202,9,Big,Green
20260527100010201,0,Small,Red Violet
20260527100010200,3,Small,Green
20260527100010199,3,Small,Green
20260527100010198,2,Small,Red
20260527100010197,6,Big,Red
20260527100010196,2,Small,Red
20260527100010195,7,Big,Green
20260527100010194,7,Big,Green
20260527100010193,7,Big,Green
20260527100010192,3,Small,Green
20260527100010191,3,Small,Green
20260527100010190,9,Big,Green
20260527100010189,6,Big,Red
20260527100010188,2,Small,Red
20260527100010187,2,Small,Red
20260527100010186,6,Big,Red
20260527100010185,1,Small,Green
20260527100010184,6,Big,Red
20260527100010183,8,Big,Red
20260527100010182,6,Big,Red
20260527100010181,2,Small,Red
20260527100010180,1,Small,Green
20260527100010179,6,Big,Red
20260527100010178,2,Small,Red
20260527100010177,8,Big,Red
20260527100010176,5,Big,Green Violet
20260527100010175,7,Big,Green
20260527100010174,1,Small,Green
20260527100010173,0,Small,Red Violet
20260527100010172,1,Small,Green
20260527100010171,2,Small,Red
20260527100010170,0,Small,Red Violet
20260527100010169,7,Big,Green
20260527100010168,9,Big,Green
20260527100010167,6,Big,Red
20260527100010166,4,Small,Red
20260527100010165,1,Small,Green
20260527100010164,9,Big,Green
20260527100010163,3,Small,Green
20260527100010162,7,Big,Green
20260527100010161,3,Small,Green
20260527100010160,4,Small,Red
20260527100010159,8,Big,Red
20260527100010158,3,Small,Green
20260527100010157,9,Big,Green
20260527100010156,5,Big,Green Violet
20260527100010155,4,Small,Red
20260527100010154,5,Big,Green Violet
20260527100010153,7,Big,Green
20260527100010152,3,Small,Green
20260527100010151,5,Big,Green Violet
20260527100010150,3,Small,Green
20260527100010149,9,Big,Green
20260527100010148,2,Small,Red
20260527100010147,3,Small,Green
20260527100010146,1,Small,Green
20260527100010145,1,Small,Green
20260527100010144,4,Small,Red
20260527100010143,1,Small,Green
20260527100010142,0,Small,Red Violet
20260527100010141,3,Small,Green
20260527100010140,7,Big,Green
20260527100010139,4,Small,Red
20260527100010138,2,Small,Red
20260527100010137,7,Big,Green
20260527100010136,7,Big,Green
20260527100010135,1,Small,Green
20260527100010134,5,Big,Green Violet
20260527100010133,6,Big,Red
20260527100010132,1,Small,Green
20260527100010131,2,Small,Red
20260527100010130,7,Big,Green
20260527100010129,9,Big,Green
20260527100010128,1,Small,Green
20260527100010127,2,Small,Red
20260527100010126,2,Small,Red
20260527100010125,2,Small,Red
20260527100010124,3,Small,Green
20260527100010123,5,Big,Green Violet
20260527100010122,4,Small,Red
20260527100010121,0,Small,Red Violet
20260527100010120,9,Big,Green
20260527100010119,8,Big,Red
20260527100010118,6,Big,Red
20260527100010117,8,Big,Red
20260527100010116,2,Small,Red
20260527100010115,3,Small,Green
20260527100010114,8,Big,Red
20260527100010113,9,Big,Green
20260527100010112,2,Small,Red
20260527100010111,4,Small,Red
20260527100010110,8,Big,Red
20260527100010109,7,Big,Green
20260527100010108,7,Big,Green
20260527100010107,6,Big,Red
20260527100010106,4,Small,Red
20260527100010105,5,Big,Green Violet
20260527100010104,8,Big,Red
20260527100010103,0,Small,Red Violet
20260527100010102,3,Small,Green
20260527100010101,0,Small,Red Violet
20260527100010100,3,Small,Green
20260527100010099,6,Big,Red
20260527100010098,1,Small,Green
20260527100010097,2,Small,Red
20260527100010096,0,Small,Red Violet
20260527100010095,3,Small,Green
20260527100010094,4,Small,Red
20260527100010093,0,Small,Red Violet
20260527100010092,3,Small,Green
20260527100010091,5,Big,Green Violet
20260527100010090,0,Small,Red Violet
20260527100010089,2,Small,Red
